time,Bx,By,Bz,BT
11.569,14.94,-1.20,0.42,14.99
11.581,14.94,-1.20,0.42,14.99
11.601,14.94,-1.26,0.42,15.00
11.622,15.00,-1.26,0.42,15.06
11.641,15.00,-1.32,0.42,15.06
11.662,15.00,-1.38,0.42,15.07
11.682,15.00,-1.44,0.48,15.08
11.714,15.00,-1.56,0.48,15.09
11.722,15.00,-1.62,0.54,15.10
11.742,15.06,-1.68,0.54,15.16
11.764,15.00,-1.68,0.54,15.10
11.788,15.06,-1.74,0.60,15.17
11.804,15.06,-1.74,0.66,15.17
11.824,15.12,-1.74,0.72,15.24
11.843,15.12,-1.74,0.78,15.24
11.864,15.12,-1.74,0.84,15.24
11.886,15.18,-1.68,0.90,15.30
11.903,15.18,-1.68,1.02,15.31
11.922,15.24,-1.68,1.08,15.37
11.953,15.30,-1.68,1.14,15.43
11.972,15.36,-1.68,1.20,15.50
11.988,15.36,-1.68,1.26,15.50
12.008,15.36,-1.62,1.26,15.50
12.041,15.36,-1.44,1.26,15.48
12.053,15.36,-1.32,1.26,15.47
12.068,15.36,-1.20,1.20,15.45
12.088,15.30,-1.08,1.20,15.38
12.114,15.30,-0.96,1.20,15.38
12.133,15.24,-0.78,1.20,15.31
12.156,15.24,-0.66,1.20,15.30
12.186,15.24,-0.54,1.14,15.29
12.198,15.24,-0.54,1.14,15.29
12.218,15.24,-0.48,1.14,15.29
12.238,15.24,-0.42,1.14,15.29
12.261,15.24,-0.42,1.14,15.29
12.281,15.18,-0.36,1.14,15.23
12.301,15.18,-0.30,1.14,15.23
12.320,15.18,-0.30,1.14,15.23
12.340,15.18,-0.30,1.14,15.23
12.361,15.18,-0.30,1.14,15.23
12.380,15.18,-0.30,1.08,15.22
12.401,15.18,-0.30,1.02,15.22
12.422,15.18,-0.36,1.02,15.22
12.442,15.18,-0.42,0.96,15.22
12.465,15.18,-0.54,0.90,15.22
12.488,15.18,-0.60,0.84,15.22
12.505,15.18,-0.72,0.84,15.22
12.524,15.18,-0.78,0.78,15.22
12.562,15.18,-0.90,0.78,15.23
12.564,15.18,-0.96,0.72,15.23
12.586,15.18,-1.02,0.72,15.23
12.607,15.18,-1.02,0.72,15.23
12.628,15.18,-1.02,0.72,15.23
12.652,15.18,-1.02,0.72,15.23
12.671,15.18,-1.02,0.72,15.23
12.692,15.18,-1.02,0.66,15.23
12.712,15.18,-1.02,0.66,15.23
12.733,15.18,-1.02,0.66,15.23
12.755,15.18,-1.02,0.66,15.23
12.784,15.18,-1.02,0.60,15.23
12.794,15.18,-1.02,0.60,15.23
12.815,15.18,-1.02,0.60,15.23
12.834,15.18,-1.02,0.60,15.23
12.864,15.24,-1.08,0.60,15.29
12.874,15.24,-1.08,0.60,15.29
12.896,15.30,-1.08,0.60,15.35
12.917,15.30,-1.08,0.60,15.35
12.938,15.30,-1.08,0.60,15.35
12.965,15.36,-1.08,0.60,15.41
12.983,15.36,-1.08,0.60,15.41
13.002,15.42,-1.08,0.60,15.47
13.023,15.42,-1.08,0.60,15.47
13.042,15.42,-1.02,0.60,15.47
13.066,15.42,-1.02,0.60,15.47
13.084,15.42,-1.02,0.66,15.47
13.103,15.42,-1.02,0.66,15.47
13.124,15.36,-1.02,0.66,15.41
13.144,15.36,-1.02,0.66,15.41
13.164,15.36,-1.02,0.72,15.41
13.184,15.36,-1.02,0.78,15.41
13.205,15.36,-1.02,0.78,15.41
13.225,15.36,-1.08,0.84,15.42
13.268,15.36,-1.08,0.84,15.42
13.270,15.36,-1.08,0.96,15.43
13.290,15.36,-1.08,1.02,15.43
13.311,15.36,-1.08,1.08,15.44
13.336,15.36,-1.08,1.08,15.44
13.351,15.36,-1.08,1.14,15.44
13.379,15.36,-1.08,1.20,15.44
13.394,15.36,-1.08,1.20,15.44
13.412,15.36,-1.08,1.26,15.45
